external_id,name,is_tbd,latitude,longitude,raw
makaha-hi-united-states,"Makaha, HI, United States",False,21.463431186887963,-158.2206478576183,"{""type"": ""Feature"", ""properties"": {""id"": ""makaha-hi-united-states"", ""name"": ""Makaha, HI, United States"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-158.2206478576183, 21.463431186887963]}}"
christiansted-virgin-islands-u-s-,"Christiansted, Virgin Islands (U.S.)",False,17.746660579229843,-64.70315141271153,"{""type"": ""Feature"", ""properties"": {""id"": ""christiansted-virgin-islands-u-s-"", ""name"": ""Christiansted, Virgin Islands (U.S.)"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-64.70315141271153, 17.746660579229843]}}"
carrickfergus-united-kingdom,"Carrickfergus, United Kingdom",False,54.71367039332284,-5.808173603216411,"{""type"": ""Feature"", ""properties"": {""id"": ""carrickfergus-united-kingdom"", ""name"": ""Carrickfergus, United Kingdom"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-5.808173603216411, 54.71367039332284]}}"
saltcoats-united-kingdom,"Saltcoats, United Kingdom",False,55.63758019678909,-4.783516125969337,"{""type"": ""Feature"", ""properties"": {""id"": ""saltcoats-united-kingdom"", ""name"": ""Saltcoats, United Kingdom"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-4.783516125969337, 55.63758019678909]}}"
douglas-isle-of-man,"Douglas, Isle of Man",False,54.15027516173659,-4.480879621608963,"{""type"": ""Feature"", ""properties"": {""id"": ""douglas-isle-of-man"", ""name"": ""Douglas, Isle of Man"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-4.480879621608963, 54.15027516173659]}}"
silecroft-beach-united-kingdom,"Silecroft Beach, United Kingdom",False,54.21062739961812,-3.35714994891956,"{""type"": ""Feature"", ""properties"": {""id"": ""silecroft-beach-united-kingdom"", ""name"": ""Silecroft Beach, United Kingdom"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-3.35714994891956, 54.21062739961812]}}"
groudle-bay-isle-of-man,"Groudle Bay, Isle of Man",False,54.16697942720116,-4.423897240100775,"{""type"": ""Feature"", ""properties"": {""id"": ""groudle-bay-isle-of-man"", ""name"": ""Groudle Bay, Isle of Man"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-4.423897240100775, 54.16697942720116]}}"
peel-isle-of-man,"Peel, Isle of Man",False,54.22244748636314,-4.691426347455632,"{""type"": ""Feature"", ""properties"": {""id"": ""peel-isle-of-man"", ""name"": ""Peel, Isle of Man"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-4.691426347455632, 54.22244748636314]}}"
ballywater-united-kingdom,"Ballywater, United Kingdom",False,54.542741580201856,-5.484394535704497,"{""type"": ""Feature"", ""properties"": {""id"": ""ballywater-united-kingdom"", ""name"": ""Ballywater, United Kingdom"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-5.484394535704497, 54.542741580201856]}}"
port-grenaugh-isle-of-man,"Port Grenaugh, Isle of Man",False,54.09999306170466,-4.566670576458828,"{""type"": ""Feature"", ""properties"": {""id"": ""port-grenaugh-isle-of-man"", ""name"": ""Port Grenaugh, Isle of Man"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-4.566670576458828, 54.09999306170466]}}"
hulhumale-maldives,"Hulhumale, Maldives",False,4.211942635751779,73.54015885755544,"{""type"": ""Feature"", ""properties"": {""id"": ""hulhumale-maldives"", ""name"": ""Hulhumale, Maldives"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [73.54015885755544, 4.211942635751779]}}"
kulhudhufushi-maldives,"Kulhudhufushi, Maldives",False,6.622441345756148,73.07140918962199,"{""type"": ""Feature"", ""properties"": {""id"": ""kulhudhufushi-maldives"", ""name"": ""Kulhudhufushi, Maldives"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [73.07140918962199, 6.622441345756148]}}"
